0,"there's a heavy stench of 'been there , done that' hanging over the film . it's everything you'd expect -- but nothing more ."
0,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration ."
0,craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters .
0,"the heart of the film is the drop dead sexy drea de matteo who , as the mother and real head of the family , commands every scene ."
0,"it is , by conventional standards , a fairly terrible movie . . . but it is also weirdly fascinating , a ready-made eurotrash cult object . it is also , at times , curiously moving ."
0,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .
0,turns out to be much more complex than the originally released gem .
0,a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess .
0,"in its ragged , cheap and unassuming way , the movie works ."
0," "" 13 conversations "" holds its goodwill close , but is relatively slow to come to the point ."
0,"written , flatly , by david kendall and directed , barely , by there's something about mary co-writer ed decter ."
0,"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow ."
0,"boasting the best sword-fighting sequences to hit the screen in many years , it is so enjoyably old-fashioned it even looks as if it were made in the '70s ."
0,"there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . unfortunately , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable ."
0,"i liked the movie , but i know i would have liked it more if it had just gone that one step further . i'm left slightly disappointed that it didn't ."
0,"the screenplay is hugely overwritten , with tons and tons of dialogue -- most of it given to children ."
1,will tom be able to persuade his naturally cautious and terminally confused fianc&#233 ; e to work through all the damage and chaos ?
1,"at the end of the worst day of his life , bruce angrily ridicules and rages against god and god responds ."
1,when the skittish emma finds blood on her pillow why does she still stay behind ?
1,the plan slowly unravels when sarah and her lover suspect that her husband has found out .
1,two brothers choose the opposite sides in a civil war of a small country .
1,"events go from tragic to dangerous as racism , paranoia , and a secret mistress come into play ."
1,"in an isolated town named raccoon city , the largest corporate supplier of healthcare , medical supplies , and defense technology has a secret research facility located half a mile underground called the hive ."
1,"after listening to looser friends talk about what silvester stallone would do in his situation , the postal worker decides to buy a ticket to china and follow his love to her home ."
1,a man ( phillipe ) awakens in a hospital not recalling the last two years as he begins to find out things from his past he discovers his ability to move from the year 2002 to the year 1999 .
1,witt plays a young harvard graduate who also represents grant's character .
1,the elders hope to return home quickly but their new friend has other plans .
1,craig and day day have finally moved out of their parents houses and into their own crib .
1,he stays at the guesthouse without accepting any lodgers and has created his own world avoiding contact with others .
1,he's a rockabilly star who's a legend both because of his great hits and because he gave up music very young when his brother was killed .
1,"an observation and reflection on contemporary life in the uk from a director with unique eclectic vision , a poetical attempt at defining what it is to live in this country ."
1,"in awe of seductive club singer velma kelly ( who is subsequantly arrested for the murder of her husband and sister - after discovering their affair ) , roxie meets fred cassely a man who convinces her he can 'make her showbiz career take off' ."
